# time(ps) volume(Å^3)
0.000 2268.546
500.000 2266.175
1000.000 2265.518
1500.000 2264.793
2000.000 2277.713
2500.000 2265.406
3000.000 2205.706
3500.000 2274.981
4000.000 2249.741
4500.000 2221.938
5000.000 2267.359
5500.000 2227.165
6000.000 2178.544
6500.000 2217.566
7000.000 2265.299
7500.000 2258.407
8000.000 2223.698
8500.000 2261.179
9000.000 2274.073
9500.000 2261.329
10000.000 2278.061
10500.000 2250.637
11000.000 2271.030
11500.000 2266.900
12000.000 2245.535
12500.000 2230.837
13000.000 2259.849
13500.000 2241.938
14000.000 2187.205
14500.000 2264.187
15000.000 2255.703
15500.000 2111.229
16000.000 2265.217
16500.000 2264.190
17000.000 2264.698
17500.000 2190.423
18000.000 2263.758
18500.000 2275.028
19000.000 2267.325
19500.000 2257.170
20000.000 2237.554
20500.000 2246.358
21000.000 2238.174
21500.000 2277.031
22000.000 2262.830
22500.000 2182.996
23000.000 2264.422
23500.000 2252.689
24000.000 2209.585
24500.000 2278.261
25000.000 2257.830
25500.000 2195.393
26000.000 2252.385
26500.000 2248.616
27000.000 2235.295
27500.000 2275.080
28000.000 2265.745
28500.000 2268.934
29000.000 2279.294
29500.000 2189.529
30000.000 2253.318
30500.000 2260.901
31000.000 2260.948
31500.000 2212.337
32000.000 2149.420
32500.000 2267.406
33000.000 2230.411
33500.000 2509.011
34000.000 2370.368
34500.000 2371.250
35000.000 2261.305
35500.000 2251.282
36000.000 2256.319
36500.000 2358.751
37000.000 2399.740
37500.000 2367.966
38000.000 2271.171
38500.000 2426.369
39000.000 2453.954
39500.000 2234.984
40000.000 2507.421
40500.000 2475.356
41000.000 2249.138
41500.000 2268.064
42000.000 2151.266
42500.000 2248.297
43000.000 2254.294
43500.000 2241.799
44000.000 2252.903
44500.000 2199.225
45000.000 2232.705
45500.000 2248.421
46000.000 2237.517
46500.000 2222.600
47000.000 2206.836
47500.000 2210.679
48000.000 2253.309
48500.000 2255.396
49000.000 2256.851
49500.000 2254.984
50000.000 2199.396
50500.000 2247.947
51000.000 2243.910
51500.000 2235.706
52000.000 2202.408
52500.000 2247.373
53000.000 2226.228
53500.000 2432.158
54000.000 2436.768
54500.000 2371.570
55000.000 2475.842
55500.000 2480.683
56000.000 2390.557
56500.000 2294.030
57000.000 2541.318
57500.000 2538.456
58000.000 2236.754
58500.000 2524.497
59000.000 2262.697
59500.000 2487.797
60000.000 2309.522
60500.000 2536.786
61000.000 2360.253
61500.000 2410.991
62000.000 2260.127
62500.000 2250.753
63000.000 2224.709
63500.000 2249.348
64000.000 2259.200
64500.000 2273.419
65000.000 2254.892
65500.000 2255.300
66000.000 2272.506
66500.000 2249.266
67000.000 2250.582
67500.000 2256.732
68000.000 2231.194
68500.000 2272.144
69000.000 2253.765
69500.000 2265.480
70000.000 2259.853
70500.000 2248.623
71000.000 2407.942
71500.000 2416.663
72000.000 2386.103
72500.000 2257.086
73000.000 2249.256
73500.000 2197.359
74000.000 2255.208
74500.000 2196.159
75000.000 2278.034
75500.000 2261.688
76000.000 2215.663
76500.000 2187.685
77000.000 2230.847
77500.000 2219.578
78000.000 2254.408
78500.000 2370.818
79000.000 2385.870
79500.000 2350.834
80000.000 2382.657
80500.000 2239.929
81000.000 2252.936
81500.000 2553.936
82000.000 2263.065
82500.000 2261.220
83000.000 2209.962
83500.000 2242.470
84000.000 2224.863
84500.000 2209.269
85000.000 2255.361
85500.000 2247.827
86000.000 2258.557
86500.000 2226.812
87000.000 2272.289
87500.000 2255.432
88000.000 2209.116
88500.000 2192.781
89000.000 2255.321
89500.000 2261.793
90000.000 2258.303
90500.000 2249.424
91000.000 2265.226
91500.000 2256.322
92000.000 2146.970
92500.000 2176.270
93000.000 2257.077
93500.000 2264.138
94000.000 2185.118
94500.000 2265.179
95000.000 2137.638
95500.000 2261.521
96000.000 2267.873
96500.000 2263.737
97000.000 2214.780
97500.000 2244.007
98000.000 2240.714
98500.000 2268.960
99000.000 2251.518
99500.000 2255.716
100000.000 2261.783
